id,photos_id,iconic_taxon,taxon_name,photos_medium_url,user_login,latitude,longitude,license_photo,attribution,path
243390,327063,bryozoa,Bryozoa,https://minka-sdg.org/attachments/local_photos/files/327063/medium.jpg,xasalva,40.9334789919,8.2285862468,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",243390_327063_Bryozoa.jpg
243385,327056,bryozoa,Bryozoa,https://minka-sdg.org/attachments/local_photos/files/327056/medium.jpg,xasalva,40.9334789919,8.2285862468,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",243385_327056_Bryozoa.jpg
243352,327015,bryozoa,Beania magellanica,https://minka-sdg.org/attachments/local_photos/files/327015/medium.jpg,xasalva,40.9334789919,8.2285862468,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",243352_327015_Beania magellanica.jpg
243343,327002,bryozoa,Nolella,https://minka-sdg.org/attachments/local_photos/files/327002/medium.jpg,xasalva,40.9334789919,8.2285862468,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",243343_327002_Nolella.jpg
243340,326997,bryozoa,Bugulina,https://minka-sdg.org/attachments/local_photos/files/326997/medium.jpg,xasalva,40.9334789919,8.2285862468,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",243340_326997_Bugulina.jpg
243330,326980,bryozoa,Crisia,https://minka-sdg.org/attachments/local_photos/files/326980/medium.jpg,xasalva,40.9334789919,8.2285862468,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",243330_326980_Crisia.jpg
243330,326981,bryozoa,Crisia,https://minka-sdg.org/attachments/local_photos/files/326981/medium.jpg,xasalva,40.9334789919,8.2285862468,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",243330_326981_Crisia.jpg
243328,326977,bryozoa,Caberea boryi,https://minka-sdg.org/attachments/local_photos/files/326977/medium.jpg,xasalva,40.9334789919,8.2285862468,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",243328_326977_Caberea boryi.jpg
243328,326976,bryozoa,Caberea boryi,https://minka-sdg.org/attachments/local_photos/files/326976/medium.jpg,xasalva,40.9334789919,8.2285862468,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",243328_326976_Caberea boryi.jpg
243322,326962,bryozoa,Bugulina,https://minka-sdg.org/attachments/local_photos/files/326962/medium.jpg,xasalva,40.9334789919,8.2285862468,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",243322_326962_Bugulina.jpg
243315,326947,bryozoa,Amathia lendigera,https://minka-sdg.org/attachments/local_photos/files/326947/medium.jpg,xasalva,40.9334789919,8.2285862468,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",243315_326947_Amathia lendigera.jpg
243308,326934,bryozoa,Filicrisia,https://minka-sdg.org/attachments/local_photos/files/326934/medium.jpg,xasalva,40.9334789919,8.2285862468,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",243308_326934_Filicrisia.jpg
243308,326935,bryozoa,Filicrisia,https://minka-sdg.org/attachments/local_photos/files/326935/medium.jpg,xasalva,40.9334789919,8.2285862468,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",243308_326935_Filicrisia.jpg
243307,326933,bryozoa,Bugulina,https://minka-sdg.org/attachments/local_photos/files/326933/medium.jpg,xasalva,40.9334789919,8.2285862468,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",243307_326933_Bugulina.jpg
243306,326931,bryozoa,Crisia,https://minka-sdg.org/attachments/local_photos/files/326931/medium.jpg,xasalva,40.9334789919,8.2285862468,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",243306_326931_Crisia.jpg
243306,326932,bryozoa,Crisia,https://minka-sdg.org/attachments/local_photos/files/326932/medium.jpg,xasalva,40.9334789919,8.2285862468,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",243306_326932_Crisia.jpg
243295,326914,bryozoa,Caberea boryi,https://minka-sdg.org/attachments/local_photos/files/326914/medium.jpg,xasalva,40.9334789919,8.2285862468,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",243295_326914_Caberea boryi.jpg
243268,326862,bryozoa,Bryozoa,https://minka-sdg.org/attachments/local_photos/files/326862/medium.jpg,xasalva,40.9334789919,8.2285862468,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",243268_326862_Bryozoa.jpg
243262,326855,bryozoa,Schizoporella dunkeri,https://minka-sdg.org/attachments/local_photos/files/326855/medium.jpg,xasalva,40.9334789919,8.2285862468,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",243262_326855_Schizoporella dunkeri.jpg
243261,326854,bryozoa,Nolella,https://minka-sdg.org/attachments/local_photos/files/326854/medium.jpg,xasalva,40.9334789919,8.2285862468,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",243261_326854_Nolella.jpg
243260,326853,bryozoa,Beania magellanica,https://minka-sdg.org/attachments/local_photos/files/326853/medium.jpg,xasalva,40.9334789919,8.2285862468,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",243260_326853_Beania magellanica.jpg
243259,326852,bryozoa,Crisia,https://minka-sdg.org/attachments/local_photos/files/326852/medium.jpg,xasalva,40.9334789919,8.2285862468,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",243259_326852_Crisia.jpg
243256,326849,bryozoa,Bryozoa,https://minka-sdg.org/attachments/local_photos/files/326849/medium.jpg,xasalva,40.9334789919,8.2285862468,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",243256_326849_Bryozoa.jpg
243254,326846,bryozoa,Amathia lendigera,https://minka-sdg.org/attachments/local_photos/files/326846/medium.jpg,xasalva,40.9334789919,8.2285862468,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",243254_326846_Amathia lendigera.jpg
243219,326793,bryozoa,Reptadeonella violacea,https://minka-sdg.org/attachments/local_photos/files/326793/medium.jpg,xasalva,40.9334789919,8.2285862468,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",243219_326793_Reptadeonella violacea.jpg
243207,326776,bryozoa,Crisia,https://minka-sdg.org/attachments/local_photos/files/326776/medium.jpg,xasalva,40.9334789919,8.2285862468,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",243207_326776_Crisia.jpg
243205,326775,bryozoa,Bryozoa,https://minka-sdg.org/attachments/local_photos/files/326775/medium.jpg,xasalva,40.9334789919,8.2285862468,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",243205_326775_Bryozoa.jpg
243201,326769,bryozoa,Schizomavella,https://minka-sdg.org/attachments/local_photos/files/326769/medium.jpg,xasalva,40.9334789919,8.2285862468,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",243201_326769_Schizomavella.jpg
243201,326770,bryozoa,Schizomavella,https://minka-sdg.org/attachments/local_photos/files/326770/medium.jpg,xasalva,40.9334789919,8.2285862468,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",243201_326770_Schizomavella.jpg
243196,326764,bryozoa,Crisia,https://minka-sdg.org/attachments/local_photos/files/326764/medium.jpg,xasalva,40.9334789919,8.2285862468,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",243196_326764_Crisia.jpg
243190,326755,bryozoa,Bryozoa,https://minka-sdg.org/attachments/local_photos/files/326755/medium.jpg,xasalva,40.9334789919,8.2285862468,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",243190_326755_Bryozoa.jpg
243190,326753,bryozoa,Bryozoa,https://minka-sdg.org/attachments/local_photos/files/326753/medium.jpg,xasalva,40.9334789919,8.2285862468,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",243190_326753_Bryozoa.jpg
