participant,observacions,espècies,identificacions
marhumet,299,91,295.0
nviana,124,53,0.0
jaume-piera,66,7,61.0
filiza,63,17,0.0
alu_mano,42,29,4.0
matilde,40,22,0.0
cmiamatosinhos,34,25,0.0
elibonfill,34,11,0.0
bessa,33,10,0.0
meri,32,8,0.0
joanapereira,32,17,1.0
bertinhaco,32,13,2.0
coastalwarming,26,20,0.0
rnieto,22,14,54.0
rocha,21,15,0.0
costapedr0,18,2,0.0
rpmartins,17,11,0.0
ricardo-jorge-lopes,17,11,0.0
inesgcorreia,17,10,0.0
phukeo,16,5,0.0
juliana09,15,7,0.0
eduardaviana,14,10,0.0
capelas,13,11,0.0
ipinto80u,12,7,0.0
raqueltomas,10,7,0.0
francisca8,10,3,0.0
susanasoares,9,6,0.0
cmonteiro,9,8,165.0
gemada,8,2,0.0
jpbarbosa2001,7,7,0.0
celinelhomme,7,5,0.0
fplima,7,6,0.0
susanapereira15,6,2,0.0
concaicao,5,3,0.0
gisel,5,4,0.0
sbv,5,4,0.0
madalena,5,2,0.0
mjaraujo,4,1,0.0
omelo,4,2,0.0
alexbrito,4,2,0.0
jessboctprobleu,4,2,0.0
earthwatchjim,4,1,0.0
fernanda,3,2,0.0
jorge64,3,2,0.0
zesbemar2,3,2,0.0
rui371,3,2,0.0
ruif,3,3,0.0
abstractlu,3,1,0.0
tomasbt,2,2,0.0
isatamo,2,1,1.0
laiamanyer,2,2,0.0
pleno,1,0,0.0
brito,1,1,0.0
angelinapinho,1,1,0.0
bloureiro,1,1,0.0
claudiaoliv,1,0,0.0
andreia,1,1,0.0
atmac,1,1,0.0
araujo,1,1,0.0
stuhiggs,1,0,0.0
gle,1,0,0.0
